+--------------------------------+-----+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Registry name                  |  ID | Effects                                                                                                                                                                                      |
+--------------------------------+-----+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| cofhcore:absorption            |  45 | PotionEffect:{Potion:[reg:minecraft:absorption,name:effect.absorption,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                         |
| cofhcore:absorption+           |  46 | PotionEffect:{Potion:[reg:minecraft:absorption,name:effect.absorption,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                         |
| cofhcore:absorption2           |  47 | PotionEffect:{Potion:[reg:minecraft:absorption,name:effect.absorption,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                         |
| cofhcore:absorption2+          |  97 | PotionEffect:{Potion:[reg:minecraft:absorption,name:effect.absorption,isBad:false,isBeneficial:true],amplifier:1,duration:3200,isSplashPotion:false,isAmbient:false}                         |
| cofhcore:absorption3           |  75 | PotionEffect:{Potion:[reg:minecraft:absorption,name:effect.absorption,isBad:false,isBeneficial:true],amplifier:2,duration:900,isSplashPotion:false,isAmbient:false}                          |
| cofhcore:absorption3+          |  98 | PotionEffect:{Potion:[reg:minecraft:absorption,name:effect.absorption,isBad:false,isBeneficial:true],amplifier:2,duration:2400,isSplashPotion:false,isAmbient:false}                         |
| cofhcore:absorption4           |  76 | PotionEffect:{Potion:[reg:minecraft:absorption,name:effect.absorption,isBad:false,isBeneficial:true],amplifier:3,duration:720,isSplashPotion:false,isAmbient:false}                          |
| cofhcore:harming3              |  63 | PotionEffect:{Potion:[reg:minecraft:instant_damage,name:effect.harm,isBad:true,isBeneficial:true],amplifier:2,duration:1,isSplashPotion:false,isAmbient:false}                               |
| cofhcore:harming4              |  64 | PotionEffect:{Potion:[reg:minecraft:instant_damage,name:effect.harm,isBad:true,isBeneficial:true],amplifier:3,duration:1,isSplashPotion:false,isAmbient:false}                               |
| cofhcore:haste                 |  37 | PotionEffect:{Potion:[reg:minecraft:haste,name:effect.digSpeed,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                |
| cofhcore:haste+                |  38 | PotionEffect:{Potion:[reg:minecraft:haste,name:effect.digSpeed,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                |
| cofhcore:haste2                |  39 | PotionEffect:{Potion:[reg:minecraft:haste,name:effect.digSpeed,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                |
| cofhcore:haste2+               |  93 | PotionEffect:{Potion:[reg:minecraft:haste,name:effect.digSpeed,isBad:false,isBeneficial:true],amplifier:1,duration:3200,isSplashPotion:false,isAmbient:false}                                |
| cofhcore:haste3                |  71 | PotionEffect:{Potion:[reg:minecraft:haste,name:effect.digSpeed,isBad:false,isBeneficial:true],amplifier:2,duration:900,isSplashPotion:false,isAmbient:false}                                 |
| cofhcore:haste3+               |  94 | PotionEffect:{Potion:[reg:minecraft:haste,name:effect.digSpeed,isBad:false,isBeneficial:true],amplifier:2,duration:2400,isSplashPotion:false,isAmbient:false}                                |
| cofhcore:haste4                |  72 | PotionEffect:{Potion:[reg:minecraft:haste,name:effect.digSpeed,isBad:false,isBeneficial:true],amplifier:3,duration:720,isSplashPotion:false,isAmbient:false}                                 |
| cofhcore:healing3              |  61 | PotionEffect:{Potion:[reg:minecraft:instant_health,name:effect.heal,isBad:false,isBeneficial:true],amplifier:2,duration:1,isSplashPotion:false,isAmbient:false}                              |
| cofhcore:healing4              |  62 | PotionEffect:{Potion:[reg:minecraft:instant_health,name:effect.heal,isBad:false,isBeneficial:true],amplifier:3,duration:1,isSplashPotion:false,isAmbient:false}                              |
| cofhcore:leaping2+             |  83 | PotionEffect:{Potion:[reg:minecraft:jump_boost,name:effect.jump,isBad:false,isBeneficial:true],amplifier:1,duration:3200,isSplashPotion:false,isAmbient:false}                               |
| cofhcore:leaping3              |  57 | PotionEffect:{Potion:[reg:minecraft:jump_boost,name:effect.jump,isBad:false,isBeneficial:true],amplifier:2,duration:900,isSplashPotion:false,isAmbient:false}                                |
| cofhcore:leaping3+             |  84 | PotionEffect:{Potion:[reg:minecraft:jump_boost,name:effect.jump,isBad:false,isBeneficial:true],amplifier:2,duration:2400,isSplashPotion:false,isAmbient:false}                               |
