+--------------------+-------------------------------------------------+---------+----------+----------+-------------------------------------+--------+------------+----------------------------------------------------------+
| *** WARNING ***                                                                                                                                                                                                             |
| The block and item IDs are dynamic and will be different on each world!                                                                                                                                                     |
| DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)                                                                                                                   |
| *** ALSO ***                                                                                                                                                                                                                |
| The server doesn't have a list of sub block and sub items                                                                                                                                                                   |
| (= items with different damage value or blocks with different metadata).                                                                                                                                                    |
| That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.                                                                                                   |
+--------------------+-------------------------------------------------+---------+----------+----------+-------------------------------------+--------+------------+----------------------------------------------------------+
| Mod name           | Registry name                                   | Item ID | Meta/dmg | Subtypes | Display name                        | Hunger | Saturation | Ore Dict keys                                            |
+--------------------+-------------------------------------------------+---------+----------+----------+-------------------------------------+--------+------------+----------------------------------------------------------+
| Botania            | botania:manacookie                              |    5258 |        0 |    false | Biscuit of Totality                 |      0 |        0.1 |                                                          |
| Extra Utilities 2  | extrautils2:magicapple                          |    4176 |        0 |    false | Magical Apple                       |      4 |        0.3 |                                                          |
| Minecraft          | minecraft:apple                                 |     260 |        0 |    false | Apple                               |      1 |        0.6 | cropApple,listAllfruit                                   |
| Minecraft          | minecraft:baked_potato                          |     393 |        0 |    false | Baked Potato                        |      2 |        1.2 |                                                          |
| Minecraft          | minecraft:beef                                  |     363 |        0 |    false | Raw Beef                            |      1 |        0.6 | listAllbeefraw,listAllmeatraw                            |
| Minecraft          | minecraft:beetroot                              |     434 |        0 |    false | Beetroot                            |      1 |        0.6 | cropBeet,cropBeetroot,listAllveggie                      |
| Minecraft          | minecraft:beetroot_soup                         |     436 |        0 |    false | Beetroot Soup                       |      9 |        1.2 |                                                          |
| Minecraft          | minecraft:bread                                 |     297 |        0 |    false | Bread                               |      3 |        1.2 | bread,foodBread                                          |
| Minecraft          | minecraft:carrot                                |     391 |        0 |    false | Carrot                              |      1 |        0.6 | cropCarrot,listAllveggie                                 |
| Minecraft          | minecraft:chicken                               |     365 |        0 |    false | Raw Chicken                         |      1 |        0.6 | listAllchickenraw,listAllmeatraw                         |
| Minecraft          | minecraft:chorus_fruit                          |     432 |        0 |    false | Chorus Fruit                        |      4 |        0.3 | listAllfruit                                             |
| Minecraft          | minecraft:clownfish                             |    7041 |        0 |    false | Clownfish                           |      1 |        0.6 | listAllfishfresh,listAllfishraw                          |
| Minecraft          | minecraft:cod                                   |    7037 |        0 |    false | Raw Fish                            |      1 |        0.6 | listAllfishfresh,listAllfishraw                          |
| Minecraft          | minecraft:cooked_beef                           |     364 |        0 |    false | Steak                               |      2 |        0.6 | listAllbeefcooked,listAllmeatcooked                      |
| Minecraft          | minecraft:cooked_chicken                        |     366 |        0 |    false | Cooked Chicken                      |      2 |        0.6 | listAllchickencooked,listAllmeatcooked                   |
| Minecraft          | minecraft:cooked_cod                            |    7038 |        0 |    false | Cooked Fish                         |      2 |        0.6 | listAllfishcooked                                        |
| Minecraft          | minecraft:cooked_fish                           |     350 |        0 |     true | Cooked Fish                         |      5 |        0.6 | listAllfishcooked                                        |
| Minecraft          | minecraft:cooked_fish                           |     350 |        1 |     true | Cooked Salmon                       |      6 |        0.8 | listAllfishcooked                                        |
| Minecraft          | minecraft:cooked_mutton                         |     424 |        0 |    false | Cooked Mutton                       |      2 |        0.6 | foodMuttoncooked,listAllmeatcooked,listAllmuttoncooked   |
| Minecraft          | minecraft:cooked_porkchop                       |     320 |        0 |    false | Cooked Porkchop                     |      2 |        0.6 | listAllmeatcooked,listAllporkcooked                      |
| Minecraft          | minecraft:cooked_rabbit                         |     412 |        0 |    false | Cooked Rabbit                       |      2 |        0.6 | foodRabbitcooked,listAllmeatcooked,listAllrabbitcooked   |
| Minecraft          | minecraft:cooked_salmon                         |    7040 |        0 |    false | Cooked Salmon                       |      2 |        0.6 | listAllfishcooked                                        |
| Minecraft          | minecraft:cookie                                |     357 |        0 |    false | Cookie                              |      2 |        1.2 |                                                          |
